"pfoa_val","pfoa_detected","state","water_use","tritium_tu","well_depth","tritium_category","month","median_income","poverty_rate","unemployment_rate","pct_white","pct_black","pct_hispanic","pct_bachelor_plus","pct_children","pct_adults","pct_older","pop_density_per_sq_mile","longitude","latitude","cancer_rate"
4,"1","Alabama","Production",-0.04,152.4,"PreModern","August",50536,16.74,5.89,68.09,26.64,4.28,23.95,22.48,61.01,16.51,96.27,-86.8298984466196,32.7770030078541,0.56
4,"1","Alabama","Water supply, other",-0.03,141.73,"PreModern","June",50536,16.74,5.89,68.09,26.64,4.28,23.95,22.48,61.01,16.51,96.27,-86.8298984466196,32.7770030078541,0.56
4,"1","Alabama","Domestic",-0.2,77.72,"PreModern","June",50536,16.74,5.89,68.09,26.64,4.28,23.95,22.48,61.01,16.51,96.27,-86.8298984466196,32.7770030078541,0.56
3.7,"1","Alabama","Domestic",1.96,53.95,"Modern","July",50536,16.74,5.89,68.09,26.64,4.28,23.95,22.48,61.01,16.51,96.27,-86.8298984466196,32.7770030078541,0.56
4,"1","Alabama","Domestic",1.4,64.01,"Modern","July",50536,16.74,5.89,68.09,26.64,4.28,23.95,22.48,61.01,16.51,96.27,-86.8298984466196,32.7770030078541,0.56
3.7,"1","Alabama","Domestic",2.12,50.6,"Modern","July",50536,16.74,5.89,68.09,26.64,4.28,23.95,22.48,61.01,16.51,96.27,-86.8298984466196,32.7770030078541,0.56
4,"1","Alabama","Domestic",-0.07,67.06,"PreModern","July",50536,16.74,5.89,68.09,26.64,4.28,23.95,22.48,61.01,16.51,96.27,-86.8298984466196,32.7770030078541,0.56
3.7,"1","Alabama","Domestic",0.19,18.9,"Mixed","July",50536,16.74,5.89,68.09,26.64,4.28,23.95,22.48,61.01,16.51,96.27,-86.8298984466196,32.7770030078541,0.56
4,"1","Alabama","Water supply, other",2.4,27.74,"Modern","July",50536,16.74,5.89,68.09,26.64,4.28,23.95,22.48,61.01,16.51,96.27,-86.8298984466196,32.7770030078541,0.56
3.7,"1","Alabama","Domestic",0.55,32.92,"Mixed","July",50536,16.74,5.89,68.09,26.64,4.28,23.95,22.48,61.01,16.51,96.27,-86.8298984466196,32.7770030078541,0.56
